date,round_id,course,tee,yards,par,holes,score,to_par,front,back,fairways_hit,fairways_total,fairways_left,fairways_right,gir,gir_total,gir_short,gir_long,gir_left,gir_right,putts,three_putts,penalties,up_down_pct,birdies,pars,bogeys,doubles_or_worse,putts_made_5_15,putts_faced_5_15,greens_firm,green_speed,wind,tee_club,app_handicap,source,notes
2025-09-19,385dd941-958c-11f0-8c42-0a202d83cc26,Campestre de Tijuana,,,72,18,91,19,43,48,5,14,7,1,5,18,7,1,2,2,40,,,,0,4,9,5,,,,,,,19.0,18birdies,
2025-09-20,b9581c90-9668-11f0-8130-029b90f35a4e,Campestre de Tijuana,,,72,18,86,14,41,45,9,14,2,,8,18,3,1,2,1,37,,,,1,5,9,3,,,,,,,14.5,18birdies,
2025-09-21,653baaa1-9712-11f0-8c42-0a202d83cc26,Campestre de Tijuana,,,72,18,97,25,47,50,6,14,3,5,5,18,9,,3,,40,,,,0,2,10,6,,,,,,,23.3,18birdies,
2025-09-22,05582900-97f9-11f0-81fe-06dc4cbfdf1e,Campestre de Tijuana,,,72,18,87,15,40,47,9,14,1,4,7,18,6,1,1,1,34,,,,2,6,6,4,,,,,,,13.3,18birdies,
2025-09-24,64c81560-9990-11f0-8596-0a37364634b7,Enagic at Eastlake,,,72,18,84,12,41,43,8,14,1,4,6,18,3,1,5,3,36,,,,0,7,10,1,,,,,,,12.5,18birdies,
2025-10-03,df3e75c0-a091-11f0-8955-0a202d83cc26,Enagic at Eastlake,,,72,18,90,18,46,44,1,14,2,8,5,18,8,,2,,32,,,,0,5,9,4,,,,,,,16.1,18birdies,
2025-10-04,a39aaa00-a160-11f0-8955-0a202d83cc26,Enagic at Eastlake,,,72,18,95,23,49,46,6,14,3,5,4,18,10,1,3,,38,,,,0,2,11,5,,,,,,,19.6,18birdies,
2025-10-05,626817c0-a214-11f0-babe-06dc4cbfdf1e,Campestre de Tijuana,,,72,18,92,20,46,46,7,14,5,2,3,18,10,,3,2,37,,,,0,4,9,5,,,,,,,18.8,18birdies,
2025-10-11,af39c9d0-a6ca-11f0-a232-06508d097ff9,Normandy Shores Golf Course,,,72,18,95,23,43,52,7,14,2,4,2,18,11,1,2,,34,,,,0,3,9,6,,,,,,,19.6,18birdies,
2025-10-18,056d2f00-ac2e-11f0-8bc8-06508d097ff9,The Club at Emerald Hills,,,72,18,102,30,48,54,4,14,3,7,1,18,12,2,,3,35,,,,0,3,8,7,,,,,,,20.7,18birdies,
2025-10-25,d655c550-b1ce-11f0-ae21-06dc4cbfdf1e,Miami Beach Golf Club,,,72,18,103,31,49,54,2,13,2,7,2,18,7,1,,1,38,,,,0,2,6,10,,,,,,,25.3,18birdies,
